"driverId","driverExpYears","qualiResultPosition","meanPace","maxPace","grid_penalty","is_top_5"
1,2,15,86454,86454,1,"FALSE"
2,9,11,85665.5,85827,1,"FALSE"
3,3,5,85980.6666666667,86973,0,"FALSE"
4,8,12,85815.5,86026,1,"TRUE"
5,2,14,85955,86184,1,"FALSE"
6,2,13,85840.5,86074,1,"FALSE"
7,1,20,86964,86964,1,"FALSE"
8,8,9,86147.3333333333,87163,1,"FALSE"
9,3,4,85996,86914,0,"FALSE"
10,5,6,85918.3333333333,86975,1,"TRUE"
12,1,17,86598,86598,1,"FALSE"
13,7,7,86065.3333333333,87033,1,"FALSE"
15,12,8,86195.3333333333,87127,1,"TRUE"
16,2,19,86742,86742,1,"FALSE"
17,7,10,85971.3333333333,87246,1,"FALSE"
18,9,1,85422.6666666667,86202,0,"TRUE"
20,2,3,85963,86830,0,"FALSE"
21,13,18,86677,86677,1,"FALSE"
22,16,2,85431.3333333333,86505,0,"TRUE"
67,0,16,86503,86503,1,"FALSE"
1,2,13,95092.5,95280,1,"FALSE"
2,9,11,94939.5,95110,1,"TRUE"
3,3,6,95126.6666666667,95750,1,"FALSE"
4,8,10,95875,97659,1,"FALSE"
5,2,14,94973.5,95023,0,"FALSE"
6,2,12,95064.5,95341,1,"FALSE"
7,1,15,95469,95507,0,"FALSE"
8,8,9,95367.3333333333,96170,1,"FALSE"
9,3,8,95278,96106,1,"FALSE"
10,5,5,94951.6666666667,95690,1,"TRUE"
12,1,17,95708,95708,0,"FALSE"
13,7,16,95642,95642,0,"FALSE"
15,12,2,94669.3333333333,95273,0,"TRUE"
16,2,19,95951,95951,0,"FALSE"
17,7,7,95015.3333333333,95797,1,"FALSE"
18,9,1,94674.3333333333,95181,0,"TRUE"
20,2,3,94909.6666666667,95518,1,"FALSE"
21,13,18,95908,95908,0,"FALSE"
22,16,4,94906.3333333333,95651,1,"TRUE"
67,0,20,96107,96107,0,"FALSE"
1,2,9,96703.6666666667,98595,0,"FALSE"
2,9,11,96250,96525,0,"FALSE"
3,3,7,96382.3333333333,97397,0,"FALSE"
4,8,2,96209,96443,0,"FALSE"
5,2,12,96339,96646,0,"TRUE"
6,2,15,96433,96673,1,"FALSE"
7,1,16,96906,96906,1,"FALSE"
8,8,8,96694,98089,0,"FALSE"
9,3,18,96966,96966,1,"FALSE"
10,5,14,96215,96364,1,"FALSE"
12,1,17,96908,96908,1,"FALSE"
13,7,13,96105.5,96178,0,"FALSE"
15,12,6,96262.6666666667,96835,0,"FALSE"
16,2,19,97669,97669,1,"FALSE"
17,7,3,95796.6666666667,96466,0,"TRUE"
18,9,5,95873.6666666667,96532,0,"TRUE"
20,2,1,95959.6666666667,96565,0,"TRUE"
21,13,20,97672,97672,0,"FALSE"
22,16,4,95899,96493,0,"TRUE"
67,0,10,97190,99321,0,"FALSE"
1,2,5,93308,94196,0,"TRUE"
2,9,14,93469.5,93562,0,"FALSE"
3,3,9,93990.6666666667,95134,0,"FALSE"
4,8,7,93688.3333333333,94578,0,"FALSE"
5,2,11,93360.5,93479,0,"FALSE"
6,2,12,93284.5,93348,0,"FALSE"
7,1,20,94159,94159,0,"FALSE"
8,8,10,93774.6666666667,95380,0,"FALSE"
9,3,13,93491,93495,0,"FALSE"
10,5,2,93163.3333333333,93712,0,"FALSE"
12,1,15,93774.5,93941,0,"FALSE"
13,7,8,93709.6666666667,94818,0,"FALSE"
15,12,1,92967,93431,0,"TRUE"
16,2,16,93722,93722,1,"FALSE"
17,7,19,94038,94038,1,"FALSE"
18,9,4,93288,94044,0,"TRUE"
20,2,3,93056.3333333333,94015,0,"TRUE"
21,13,18,93910,93910,1,"FALSE"
22,16,6,93399,94239,0,"TRUE"
67,0,17,93753,93753,1,"FALSE"
1,2,14,80898,80991,0,"FALSE"
2,9,13,80885.5,81095,0,"FALSE"
3,3,9,81186.3333333333,82558,0,"FALSE"
4,8,8,81029,81392,0,"TRUE"
