surname,Australian Grand Prix,Austrian Grand Prix,Azerbaijan Grand Prix,Japanese Grand Prix,Russian Grand Prix,Turkish Grand Prix,United States Grand Prix,Italian Grand Prix,Abu Dhabi Grand Prix,Bahrain Grand Prix,Belgian Grand Prix,Brazilian Grand Prix,British Grand Prix,Canadian Grand Prix,Chinese Grand Prix,Eifel Grand Prix,Emilia Romagna Grand Prix,French Grand Prix,German Grand Prix,Hungarian Grand Prix,Mexican Grand Prix,Monaco Grand Prix,Portuguese Grand Prix,Qatar Grand Prix,Saudi Arabian Grand Prix,Singapore Grand Prix,Spanish Grand Prix,Styrian Grand Prix,São Paulo Grand Prix,Tuscan Grand Prix,Sakhir Grand Prix,70th Anniversary Grand Prix,Dutch Grand Prix,Mexico City Grand Prix,Miami Grand Prix
Bottas,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gasly,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hamilton,0,0,1,1,3,1,0,1,2,3,1,1,3,1,1,1,1,2,1,3,1,1,2,1,1,1,4,1,1,1,0,0,0,0,0
Leclerc,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ocon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pérez,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
Ricciardo,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Russell,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Räikkönen,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sainz,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Verstappen,0,3,1,1,0,0,2,1,3,0,2,1,0,1,0,0,2,2,1,1,1,1,0,0,1,0,1,1,0,0,0,1,2,2,1
Vettel,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
